,log_moneyness,total_variance,T
0,-0.009867127429536335,0.0002618168432389994,0.005479452054794521
1,-0.00912113709281487,0.00023551884727005223,0.005479452054794521
2,-0.008375702842866298,0.0002431018486069134,0.005479452054794521
3,-0.007630823851255832,0.00025358524087136075,0.005479452054794521
4,-0.006886499291398559,0.0002643450163566474,0.005479452054794521
5,-0.006142728338553825,0.0002799581129732379,0.005479452054794521
6,-0.0053995101698201976,0.0002575033264774405,0.005479452054794521
7,-0.004656843964129333,0.00025851932129378614,0.005479452054794521
8,-0.00391472890224098,0.00027377497892141535,0.005479452054794521
9,-0.0031731641667374472,0.0002496258052150168,0.005479452054794521
10,-0.0024321489420182016,0.0002694378059187735,0.005479452054794521
11,-0.0016916824142944832,0.00024297858882295015,0.005479452054794521
12,-0.0009517637715839456,0.00023810868413863914,0.005479452054794521
13,-0.0002123922037053124,0.00023517229617638885,0.005479452054794521
14,0.0005264330977269452,0.00025625422657657004,0.005479452054794521
15,0.0012647129393079115,0.00021910532479307276,0.005479452054794521
16,0.00200244812584751,0.0002271869121264315,0.005479452054794521
17,0.002739639460375767,0.00024633530106418354,0.005479452054794521
18,0.0034762877441480563,0.00021344122637887046,0.005479452054794521
19,0.004212393776650326,0.0002174782524860023,0.005479452054794521
20,0.004947958355604301,0.0002406075499207231,0.005479452054794521
21,0.0056829822769726744,0.00021692060679612382,0.005479452054794521
22,0.006417466334964273,0.00022679551592045088,0.005479452054794521
23,0.007151411322039205,0.00022396375907744875,0.005479452054794521
24,0.007884818028913994,0.0001993901174004804,0.005479452054794521
25,0.008617687244566687,0.00020905806254781564,0.005479452054794521
26,0.009350019756241947,0.00021439938634069107,0.005479452054794521
27,0.01008181634945613,0.0002108255508602903,0.005479452054794521
28,0.010813077808002334,0.00019130778773227618,0.005479452054794521
29,0.011543804913955446,0.00020698914597299997,0.005479452054794521
30,0.012273998447677152,0.00019087060769693587,0.005479452054794521
31,0.013003659187820937,0.00018892501083251644,0.005479452054794521
32,0.013732787911337075,0.000191839321528666,0.005479452054794521
33,0.014461385393477584,0.00019058982747058125,0.005479452054794521
34,0.015189452407801398,0.00018872324093645358,0.005479452054794521
35,0.015916989726178412,0.00017531560662949468,0.005479452054794521
36,0.016643998118795706,0.0001819729133224617,0.005479452054794521
37,0.017370478354161577,0.00017902901926195524,0.005479452054794521
38,0.018096431199110606,0.00016986997612413688,0.005479452054794521
39,0.01882185741880853,0.00016398913951030995,0.005479452054794521
40,0.01954675777675709,0.00016179796296806877,0.005479452054794521
41,0.020271133034798827,0.000162603523916391,0.005479452054794521
42,0.02099498395312191,0.0001511464494370386,0.005479452054794521
43,0.021718311290264906,0.00015587642037299474,0.005479452054794521
44,0.022441115803121567,0.00015475031770926,0.005479452054794521
45,0.02316339824694556,0.00015292910793472772,0.005479452054794521
46,0.023885159375355222,0.0001454249866512974,0.005479452054794521
47,0.024606399940338263,0.00014689975720252304,0.005479452054794521
48,0.02532712069225648,0.00014045571058164945,0.005479452054794521
49,0.02604732237985043,0.00013652136986383185,0.005479452054794521
50,0.0267670057502441,0.00013922688909269305,0.005479452054794521
51,0.027486171548949563,0.0001370497715857887,0.005479452054794521
52,0.028204820519871603,0.00013389467036004622,0.005479452054794521
53,0.02892295340531234,0.00013243486366709326,0.005479452054794521
54,0.02964057094597583,0.0001333202206059217,0.005479452054794521
55,0.030357673880972633,0.00013036330579040896,0.005479452054794521
56,0.031074262947824408,0.00013005398054665817,0.005479452054794521
57,0.03179033888246843,0.0001269809361290689,0.005479452054794521
58,0.03250590241926218,0.00012964211842828111,0.005479452054794521
59,0.03322095429098778,0.00012974502272145141,0.005479452054794521
60,0.03393549522885658,0.00012647233418420375,0.005479452054794521
61,0.0346495259625136,0.00012810345294464673,0.005479452054794521
62,0.03536304722004199,0.0001295392549593935,0.005479452054794521
63,0.03607605972796753,0.0001306729984527037,0.005479452054794521
64,0.03678856421126301,0.000127388552522049,0.005479452054794521
65,0.03750056139335271,0.00013170796090539264,0.005479452054794521
66,0.03821205199611678,0.00013150064182059352,0.005479452054794521
67,0.03892303673989562,0.00013588863499881145,0.005479452054794521
68,0.03963351634349427,0.00013504727467194685,0.005479452054794521
69,0.04034349152418677,0.00013928020384717472,0.005479452054794521
70,0.04105296299772051,0.00013757919391481222,0.005479452054794521
71,0.041761931478320545,0.000141851314401397,0.005479452054794521
72,0.042470397678694136,0.0001388539715813002,0.005479452054794521
73,0.043178362310034184,0.0001431456877235633,0.005479452054794521
74,0.043885826082024806,0.00014706407987028367,0.005479452054794521
75,0.044592789702844735,0.00015147990183184335,0.005479452054794521
76,0.045299253879171796,0.00015573543428223208,0.005479452054794521
77,0.04600521931618716,0.0001600499169967866,0.005479452054794521
78,0.046710686717579525,0.00015460984192203057,0.005479452054794521
79,0.04741565678554937,0.00015868108018304234,0.005479452054794521
80,0.04812013022081312,0.00017334706672544534,0.005479452054794521
81,0.048824107722607334,0.00016744966465886,0.005479452054794521
82,0.04952758998869288,0.00017168550642757024,0.005479452054794521
83,0.050230577715359055,0.00017597425646661218,0.005479452054794521
84,0.050933071597427756,0.00018031591477598582,0.005479452054794521
85,0.05163507232825758,0.000185202032473827,0.005479452054794521
86,0.05233658059974792,0.00018965538602056748,0.005479452054794521
87,0.053037597102343084,0.00019416164783763967,0.005479452054794521
88,0.053738122525036354,0.00019872081792504355,0.005479452054794521
89,0.05443815755537406,0.00020333289628277898,0.005479452054794521
90,0.05513770287945961,0.00020799788291084613,0.005479452054794521
91,0.05583675918195755,0.00021271577780924498,0.005479452054794521
92,0.05653532714609756,0.00021748658097797547,0.005479452054794521
93,0.057931000785072295,0.0002271869121264315,0.005479452054794521
94,0.05862810781922811,0.00023211644010615701,0.005479452054794521
95,0.059324729233676106,0.00023709887635621412,0.005479452054794521
96,0.0607165179064986,0.0002472224736673236,0.005479452054794521
97,0.0621063721955529,0.00023821326948553114,0.005479452054794521
98,0.06349429747040097,0.0002477911010311279,0.005479452054794521
99,0.06488029907827811,0.00025755770405975966,0.005479452054794521
100,0.06557258017203911,0.0002628046816614752,0.005479452054794521
101,0.06626438234421655,0.0002681045675335224,0.005479452054794521
102,0.06764655257116822,0.000277657224566129,0.005479452054794521
103,0.06902681504012663,0.00028860383941573106,0.005479452054794521
104,0.07040517501024814,0.0002985118310046392,0.005479452054794521
105,0.0717816377189714,0.00030985819723008045,0.005479452054794521
106,0.07246915923109962,0.00031496895826996164,0.005479452054794521
107,0.073156208382138,0.0003201215233752903,0.005479452054794521
108,0.07452889219411016,0.0003318676409765709,0.005479452054794521
109,0.07589969432788882,0.00034248630167808223,0.005479452054794521
110,0.0772686199352305,0.00035327217864138257,0.005479452054794521
111,0.07931850107667435,0.0003711558696400922,0.005479452054794521
112,0.08272565939828863,0.0004009776621559922,0.005479452054794521
113,0.08408527891432818,0.0004126414244936846,0.005479452054794521
114,0.08612124839942682,0.0004304505984910774,0.005479452054794521
115,0.08950534638366733,0.0004097098073847187,0.005479452054794521
116,0.09287803086230656,0.0004941373669681143,0.005479452054794521
117,-0.009897538388440435,0.0005995494675790449,0.0136986301369863
118,-0.00840611380177044,0.0005976269473809769,0.0136986301369863
119,-0.006916910250302631,0.0005193636720014747,0.0136986301369863
120,-0.006173139297458085,0.0005882772149891054,0.0136986301369863
121,-0.0039451398611451355,0.0004919774149346398,0.0136986301369863
122,-0.00320357512564168,0.0005517203004472904,0.0136986301369863
123,-0.002462559900922399,0.0005164171424779542,0.0136986301369863
124,-0.001722093373198646,0.0005516154348224445,0.0136986301369863
125,-0.0009821747304880736,0.0005336030659471761,0.0136986301369863
126,-0.00024280316260951666,0.000496861755255376,0.0136986301369863
127,0.0004960221388227757,0.0005332730869607563,0.0136986301369863
128,0.001234301980403666,0.0004894652674145312,0.0136986301369863
129,0.00197203716694341,0.000502730784382471,0.0136986301369863
130,0.0027092285014715905,0.0005083322407069474,0.0136986301369863
131,0.0034458767852440252,0.00046985116313491223,0.0136986301369863
132,0.004181982817746219,0.0004959664753613978,0.0136986301369863
133,0.004917547396700118,0.0004795200860565484,0.0136986301369863
134,0.005652571318068637,0.0004473836576217613,0.0136986301369863
135,0.006387055376060159,0.00044872564373688435,0.0136986301369863
136,0.007121000363135016,0.0004410788631725067,0.0136986301369863
137,0.00785440707000995,0.0004547037632213953,0.0136986301369863
138,0.008587276285662566,0.00044815836216531167,0.0136986301369863
139,0.009319608797337972,0.00042960234448875475,0.0136986301369863
140,0.010051405390552078,0.00041990403221228137,0.0136986301369863
141,0.010782666849098206,0.00042478535633188723,0.0136986301369863
142,0.011513393955051463,0.00043045413062313653,0.0136986301369863
143,0.012243587488773092,0.0004165986574942056,0.0136986301369863
144,0.012973248228916802,0.00040463859174086683,0.0136986301369863
145,0.013702376952433084,0.0004093041563968958,0.0136986301369863
146,0.014430974434573519,0.0003834410138261414,0.0136986301369863
147,0.015159041448897037,0.00037123014336545775,0.0136986301369863
148,0.015886578767274194,0.0003563455456554182,0.0136986301369863
149,0.016613587159891415,0.0003539895830782856,0.0136986301369863
150,0.017340067395257428,0.0003555032334313698,0.0136986301369863
151,0.01806602024020638,0.0003498353446899935,0.0136986301369863
152,0.018791446459904236,0.0003414354102717737,0.0136986301369863
153,0.019516346817852935,0.00033860334251665543,0.0136986301369863
154,0.0202407220758946,0.0003331049555761339,0.0136986301369863
155,0.020964572994217605,0.00032285261153890344,0.0136986301369863
156,0.021687900331360747,0.0003186307539682454,0.0136986301369863
157,0.02241070484421733,0.00031140390095616257,0.0136986301369863
158,0.023132987288041466,0.0003048209291572744,0.0136986301369863
159,0.023854748416451053,0.0002990490265504329,0.0136986301369863
160,0.02457598898143402,0.00029418935003562666,0.0136986301369863
161,0.02529670973335238,0.00029735285002052074,0.0136986301369863
162,0.026016911420946254,0.0002781488634591766,0.0136986301369863
163,0.02673659479133985,0.000271458251148516,0.0136986301369863
164,0.027455760590045456,0.0002770181969844593,0.0136986301369863
165,0.028174409560967423,0.00027666162282305836,0.0136986301369863
166,0.028892542446408088,0.0002693438365684186,0.0136986301369863
167,0.029610159987071717,0.00025688819863975735,0.0136986301369863
168,0.030327262922068447,0.00025255581217086394,0.0136986301369863
169,0.03104385198892036,0.0002467430913178317,0.0136986301369863
170,0.031759927923564316,0.0002476978095309618,0.0136986301369863
171,0.03247549146035798,0.00024349969129152288,0.0136986301369863
172,0.03319054333208373,0.00024511870902173044,0.0136986301369863
173,0.03390508426995246,0.00023834385581464467,0.0136986301369863
